Content type text/csv cannot be simplified to markdown, but here is the raw content:
Contents of https://barttorvik.com/2026_team_results.csv:
rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
1,Duke,ACC,32-2,128.1577810322955,4,90.80577536766117,1,0.9813338633246531,1,32.98438141763811,2.015618582361886,17.0,1.0,17-1,0.7408226082329608,0.6249510288812921,0.7998498473125888,0.7326501412407902,0.6249510288812921,0.7998498473125888,0.6243479538957888,0.6354689381527637,116.61593879642184,102.9976714723571,116.34704813470678,103.16655918776493,129.2279276288001,90.80669640031422,128.13307835154254,89.08082232583504,0.9849400405217478,19.0,0.07039495618004177,1457.0,1123.0,1174.9624999999999,1.2400395757311404,0.9557751843143931,0.0,0.9444444444444444,13.678262047358356,2,40,65.8028990251274
2,Michigan,B10,31-3,127.6510347396009,6,91.04108901647348,2,0.9799028840823623,2,31.0,3.0,19.0,1.0,19-1,0.8026821814282838,0.7289907620114218,0.8231045121894983,0.8026821814282838,0.7289907620114218,0.8231045121894983,0.5815200679710404,0.660593251580694,119.37125134802788,102.32537812634433,119.37125134802788,102.32537812634433,129.5066983250826,93.72807407769803,127.61439733630445,89.03253561715677,0.9843287210062529,22.0,0.06998931754788906,1719.0,1418.0,1400.3750000000002,1.2275283406230473,1.0125859144871907,0.0,0.95,14.004070199622173,1,42,71.21588775357495
3,Arizona,B12,32-2,126.93136972033425,9,91.39075358997854,3,0.9776379855298921,3,32.9883332062663,2.0116667937337027,16.0,2.0,16-2,0.7385744775628325,0.5600498715218261,0.8379380643793077,0.7271981580262066,0.5600498715218261,0.8379380643793077,0.6220920193363828,0.7211812596405119,116.99720755411909,103.2665561157288,116.61566480626016,103.45264667677513,126.3926430333985,91.43370361326123,127.38688044378624,91.41634544303066,0.9784533195092604,19.0,0.10029018140403878,1513.0,1265.0,1284.0874999999999,1.178268614872429,0.9851353587664393,0.0,0.8888888888888888,13.673816180474722,3,12,70.02658079826006
4,Florida,SEC,26-7,126.09307388963833,11,92.27267564967472,4,0.9731724237587085,4,26.0,7.0,16.0,2.0,16-2,0.7579756324670834,0.6172283509883045,0.8418386951225382,0.7579756324670834,0.6172283509883045,0.8418386951225382,0.6074677126922509,0.6833066209104584,118.64800162462771,104.26663049437212,118.64800162462771,104.26663049437212,129.46876537804349,91.64684074314317,127.63127032649982,92.91645270998319,0.9746824466606979,19.0,-0.03396370632874457,1613.0,1307.0,1303.2875,1.2376394310541612,1.0028485656464903,0.0,0.8888888888888888,8.541387518435386,7,254,70.39846831649506
5,Houston,B12,28-6,125.33823216438134,12,92.39027750577253,5,0.9708985271824283,5,28.96171341327574,6.038286586724261,14.0,4.0,14-4,0.7306710877953739,0.5363677495462641,0.8376668810635662,0.7260942449905378,0.5363677495462641,0.8376668810635662,0.6385705919628964,0.7919173404458927,116.45378568594573,103.6859425525979,116.23587680059063,103.75703081075115,127.25887622372186,93.15031784964019,127.74073031961997,95.10371085689022,0.9674818658493473,16.0,0.0010641151541113114,1384.0,1165.0,1162.3625000000002,1.1906784673456,1.0022690855907685,0.0,0.7777777777777778,9.006019974424861,5,167,63.32516871552926
6,Illinois,B10,24-8,131.94514585642466,2,98.21466819399238,24,0.9675527121708519,6,24.963342541428236,8.036657458571762,15.0,5.0,15-5,0.7383594612989434,0.5752859086283535,0.8184974259961726,0.7320924552361644,0.5752859086283535,0.8184974259961726,0.6254997959338257,0.7225647427086064,117.20276007567092,103.40191169847178,116.880188658058,103.46226177513056,133.278873857911,99.21509733620714,132.67449296014908,100.48134031633705,0.9606893887271301,17.0,-0.04916497113830265,1633.0,1416.0,1312.4,1.2442852788783907,1.0789393477598292,0.0,0.75,6.569390594329355,16,298,65.7182560664829
7,Iowa St.,B12,27-7,123.76331415024279,23,92.623031380969,6,0.9655464204650119,7,27.977222476426512,7.022777523573487,12.0,6.0,12-6,0.6967582653713512,0.4593854523839548,0.8333335204248208,0.6881399046535647,0.4593854523839548,0.8333335204248208,0.6544919466638556,0.7975913769977401,114.87484340541711,103.6374876111377,114.67249668678032,103.87239456988453,121.15564503181548,94.32692812470805,120.52110635197813,96.17162849996029,0.9305675784653556,14.0,-0.01163187238559038,1360.0,1221.0,1200.275,1.1330736706171503,1.0172668763408386,0.0,0.6666666666666666,7.401354426173643,12,210,66.96165457902012
8,Purdue,B10,27-8,133.31184274856508,1,100.25525955882915,36,0.9636373426958348,8,27.971213322380425,8.028786677619577,13.0,7.0,13-7,0.7791733457444869,0.6211965069752348,0.8412927729575621,0.7697498194527332,0.6211965069752348,0.8412927729575621,0.5963511295020443,0.723393535688321,118.39210094710062,102.52680722426574,118.28897401512538,102.93197554552505,132.1044812527302,101.7936798566855,135.0500727144253,100.08563546709439,0.9691003590271419,20.0,0.0035603973071266504,1596.0,1455.0,1300.375,1.2273382678073632,1.1189080073055848,0.0,0.65,9.198076717381916,4,160,64.43644110019177
9,Connecticut,BE,29-5,123.09323645849942,25,94.98376075233445,12,0.9517182656254366,9,29.96103483748969,5.03896516251031,17.0,3.0,17-3,0.7137586379830577,0.5825132964687764,0.7735041854106659,0.7060570095797424,0.5825132964687764,0.7735041854106659,0.6742888649124658,0.6512012431872535,114.70839998602915,103.62328033361396,114.48581575249052,103.77753363430993,123.21681617861664,95.41746681164508,122.77554667976482,91.59202617056738,0.9667426632184095,11.0,0.06795555398336517,1554.0,1343.0,1335.8125,1.163336920413606,1.005380620408927,0.0,0.85,8.850499064153146,6,43,64.58279664485254
10,Vanderbilt,SEC,26-8,127.47435196393116,7,99.35983698753643,29,0.9461104566558141,10,26.84370973813478,8.156290261865218,11.0,7.0,11-7,0.7377630595775779,0.523341380248685,0.857375803459729,0.7385363202739527,0.523341380248685,0.857375803459729,0.6318600720864606,0.8045095535438661,117.26770456426658,104.1865466093786,117.15022830496925,104.12770301230152,125.18476401233796,100.74327116061966,130.41932929972492,102.11012630736565,0.9434321763964693,18.0,0.02268317331485148,1470.0,1410.0,1259.2750000000003,1.1673383494471021,1.1196918862043634,0.0,0.6111111111111112,7.309167582024248,14,117,68.98180715558453
