Team,Record,NET Rank,NET Delta
Duke,32-2,1,
Michigan,31-3,2,
Arizona,32-2,3,
Florida,26-7,4,
Houston,28-6,5,
Iowa State,27-7,6,
Gonzaga,30-3,7,
Illinois,24-8,8,
Purdue,27-8,9,
Connecticut,29-5,10,
Michigan State,25-7,11,
Virginia,29-5,12,
Vanderbilt,26-8,13,
Nebraska,26-6,14,
Arkansas,26-8,15,
Saint John's,28-6,16,
Louisville,23-10,17,
Alabama,23-9,18,
Texas Tech,22-10,19,
Tennessee,22-11,20,
Kansas,23-10,21,
Saint Mary's College,26-5,22,
BYU,23-11,23,
North Carolina,24-8,24,
Wisconsin,24-10,25,
Utah State,27-6,26,
Iowa,21-12,27,
Kentucky,21-13,28,
Ohio State,21-12,29,
UCLA,23-11,30,
Saint Louis,27-5,31,
Miami (FL),25-8,32,
Georgia,22-10,33,
Clemson,24-10,34,
Villanova,24-8,35,
North Carolina State,20-13,36,
SMU,20-13,37,
Auburn,17-16,38,
TCU,22-11,39,
Santa Clara,25-8,40,
Indiana,18-14,41,
Texas,17-14,42,
VCU,27-7,43,
Texas A&M,21-11,44,
South Florida,24-8,45,
New Mexico,22-10,46,
San Diego State,21-11,47,
Oklahoma,19-15,48,
Cincinnati,18-15,49,
Baylor,15-16,50,
UCF,21-11,51,
Tulsa,24-7,52,
Seton Hall,21-12,53,
Akron,27-5,54,
Virginia Tech,19-13,55,
McNeese,26-5,56,
Washington,16-17,57,
Missouri,20-12,58,
West Virginia,18-14,59,
Boise State,19-11,60,
Stanford,20-12,61,
Florida State,18-15,62,
Belmont,25-6,63,
Miami (OH),28-1,64,
Northwestern,15-19,65,
Wake Forest,17-16,66,
California,20-11,67,
Yale,22-6,68,
Dayton,23-11,69,
Nevada,22-12,70,
Grand Canyon,20-12,71,
Northern Iowa,22-12,72,
Arizona State,17-16,73,
Oklahoma State,19-14,74,
High Point,27-4,75,
Colorado,17-15,76,
LSU,15-17,77,
Wichita State,21-11,78,
USC,17-14,79,
Providence,15-18,80,
Minnesota,15-17,81,
Ole Miss,15-20,82,
Creighton,15-17,83,
Butler,16-16,84,
Utah Valley,22-8,85,
Syracuse,15-17,86,
Colorado State,20-12,87,
Hofstra,22-10,88,
Stephen F. Austin,26-5,89,
Georgetown,16-18,90,
George Washington,17-15,91,
George Mason,22-9,92,
Marquette,12-20,93,
Notre Dame,13-18,94,
Illinois State,19-12,95,
UNCW,24-6,96,
Xavier,15-18,97,
California Baptist,25-8,98,
Wyoming,17-14,99,
Kansas State,12-20,100,
Hawaii,22-8,101,
DePaul,16-16,102,
Saint Thomas,21-9,103,
Pittsburgh,13-20,104,
Murray State,20-12,105,
Liberty,22-7,106,
Sam Houston State,19-11,107,
South Carolina,13-19,108,
Oregon,12-20,109,
UIC,17-15,110,
UNLV,16-16,111,
Mississippi State,13-19,112,
Bradley,20-12,113,
North Dakota State,24-7,114,
Davidson,18-13,115,
Pacific,16-15,116,
UC Irvine,21-11,117,
UAB,19-12,118,
San Francisco,16-16,119,
Southern Illinois,15-16,120,
Saint Joseph's,20-11,121,
Seattle University,18-13,122,
FAU,16-15,123,
UC San Diego,21-11,124,
Troy,20-11,125,
UTRGV,17-14,126,
Wright State,21-11,127,
Montana State,15-14,128,
William & Mary,18-12,129,
Toledo,17-15,130,
Winthrop,20-11,131,
Utah,10-22,132,
Duquesne,16-15,133,
Rutgers,14-19,134,
Memphis,13-19,135,
North Texas,17-14,136,
Navy,24-7,137,
Maryland,12-21,138,
Penn,17-11,139,
East Tennessee State,21-11,140,
Kent State,22-9,141,
Penn State,12-20,142,
UC Santa Barbara,16-14,143,
Saint Bonaventure,16-17,144,
Idaho,18-14,145,
Washington State,11-20,146,
Portland State,17-11,147,
Robert Morris,20-11,148,
Northern Colorado,17-12,149,
Cornell,13-13,150,
Harvard,16-12,151,
Rhode Island,16-16,152,
Fresno State,12-19,153,
Arkansas State,18-12,154,
Kennesaw State,18-13,155,
Valparaiso,17-15,156,
Bowling Green,15-14,157,
Boston College,11-20,158,
