ranker,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf
1,Abilene Christian,33,14,19,.424,-7.18,-1.25,5,13,9,5,3,12,2321,2389,1325,805,1840,.438,189,603,.313,522,741,.704,369,1047,440,321,91,472,691
2,Air Force,32,3,29,.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,1280,696,1637,.425,209,684,.306,368,574,.641,225,931,389,180,76,472,570
3,Akron&nbsp;NCAA,34,29,5,.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,1360,1090,2169,.503,371,979,.379,453,601,.754,386,1294,627,256,105,372,536
4,Alabama&nbsp;NCAA,32,23,9,.719,22.70,14.45,13,5,12,3,7,3,2935,2671,1290,965,2108,.458,405,1131,.358,600,784,.765,391,1300,516,206,162,313,593
5,Alabama A&amp;M,33,18,15,.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,1325,784,1798,.436,214,616,.347,596,808,.738,311,1126,387,198,93,376,607
6,Alabama State,32,10,22,.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,1280,814,1952,.417,238,746,.319,475,684,.694,400,1159,396,262,120,418,611
7,Albany (NY),32,11,21,.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,1280,883,1886,.468,235,702,.335,302,457,.661,360,1100,445,221,128,389,538
8,Alcorn State,32,9,23,.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,1282,764,1817,.420,204,612,.333,409,578,.708,301,965,356,246,109,436,565
9,American,32,16,16,.500,-6.91,-6.21,9,9,11,6,5,10,2387,2283,1280,843,1876,.449,288,864,.333,413,550,.751,309,1016,428,247,48,338,594
10,Appalachian State,32,19,13,.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,1285,800,1818,.440,254,837,.303,451,703,.642,391,1251,388,157,118,316,500
11,Arizona&nbsp;NCAA,34,32,2,.941,29.92,12.57,16,2,16,1,9,1,2929,2339,1365,1039,2069,.502,200,555,.360,651,887,.734,434,1446,576,266,144,368,544
12,Arizona State,33,17,16,.515,10.79,12.79,7,11,10,5,2,9,2519,2585,1320,853,1909,.447,245,733,.334,568,754,.753,337,1096,452,231,151,398,567
13,Arkansas&nbsp;NCAA,34,26,8,.765,22.43,12.57,13,5,17,1,5,5,3058,2723,1380,1091,2182,.500,283,728,.389,593,794,.747,375,1227,578,247,174,306,574
14,Arkansas State,32,20,12,.625,-0.65,-4.39,11,7,11,4,9,7,2655,2471,1295,897,1988,.451,298,896,.333,563,768,.733,456,1322,504,239,83,456,596
15,Arkansas-Pine Bluff,32,13,19,.406,-14.79,-6.92,10,8,7,4,6,14,2472,2593,1285,855,1896,.451,242,706,.343,520,689,.755,329,1076,497,229,93,430,623
16,Army,32,11,21,.344,-15.28,-7.14,5,13,6,10,5,10,2309,2471,1305,806,1957,.412,339,1045,.324,358,501,.715,376,1135,481,187,51,381,600
17,Auburn,33,17,16,.515,17.02,13.69,7,11,11,4,2,8,2730,2620,1330,905,1981,.457,262,776,.338,658,885,.744,442,1202,418,246,138,338,577
18,Austin Peay,31,22,9,.710,-2.25,-6.70,15,3,12,1,9,7,2530,2269,1240,874,1867,.468,260,725,.359,522,703,.743,331,1100,502,286,75,336,524
19,Ball State,31,12,19,.387,-9.58,-4.27,7,11,7,7,4,11,2093,2154,1250,741,1765,.420,218,689,.316,393,566,.694,301,1001,393,235,83,330,492
20,Baylor,32,16,16,.500,15.33,11.78,6,12,11,6,3,7,2642,2469,1280,938,1958,.479,263,762,.345,501,684,.732,408,1177,506,210,128,369,518
Rk,School,G,W,L,W-L%,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SRS","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""Overall"" >SOS",W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,Bellarmine,32,13,19,.406,-9.00,-4.64,7,11,9,5,2,13,2561,2614,1290,907,1741,.521,270,706,.382,477,602,.792,206,892,484,195,55,328,532
22,Belmont,32,26,6,.813,8.95,-0.41,16,4,13,2,11,3,2684,2347,1290,963,1874,.514,349,864,.404,409,597,.685,292,1151,595,196,110,402,564
23,Bethune-Cookman,32,17,15,.531,-9.38,-6.45,14,4,10,1,7,11,2412,2462,1295,855,1834,.466,182,546,.333,520,754,.690,333,1145,437,225,147,442,580
24,Binghamton,31,8,23,.258,-20.67,-10.78,4,12,7,8,1,14,2105,2321,1265,725,1580,.459,164,502,.327,491,659,.745,207,969,361,160,92,382,519
25,Boise State,32,20,12,.625,12.04,7.84,12,8,12,4,6,5,2502,2351,1310,821,1814,.453,266,777,.342,594,756,.786,344,1154,415,147,69,373,544
26,Boston College,31,11,20,.355,3.39,6.65,4,14,10,7,1,10,2090,2191,1260,740,1815,.408,226,769,.294,384,588,.653,332,1135,351,150,128,322,520
27,Boston University,34,17,17,.500,-8.08,-8.23,10,8,10,5,6,12,2566,2514,1395,911,1842,.495,319,811,.393,423,580,.729,282,1097,486,163,111,393,552
