Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
2,Air Force,32,3,29,.094,-13.66,4.68,0,20,3,15,0,12,1969,2556,67.4,118.5,.366,.388,.594,55.2,54.2,11.8,11.9,.564,13.1,31.3,.266
3,Akron,34,29,5,.853,9.04,-3.33,17,1,15,0,9,3,3004,2499,71.8,102.4,.288,.441,.530,46.5,51.5,8.7,8.0,.498,16.3,29.3,.208
4,Alabama,32,23,9,.719,22.70,14.45,13,5,12,3,7,3,2935,2671,74.6,111.1,.327,.351,.524,49.6,46.7,8.5,12.1,.492,10.7,32.8,.228
5,Alabama A&M,33,18,15,.545,-12.99,-10.49,10,8,12,5,4,8,2378,2393,67.8,106.6,.384,.367,.544,50.1,56.3,9.0,8.4,.504,14.5,28.8,.278
6,Alabama State,32,10,22,.313,-14.21,-8.14,7,11,5,4,4,15,2341,2473,71.9,107.4,.421,.406,.561,50.0,54.8,10.6,10.5,.519,16.7,30.7,.309
7,Albany (NY),32,11,21,.344,-13.92,-8.09,7,9,6,5,4,13,2303,2332,66.6,109.4,.342,.395,.551,48.5,54.8,10.2,8.5,.516,14.0,30.9,.248
8,Alcorn State,32,9,23,.281,-19.82,-6.54,7,11,5,4,2,18,2141,2566,69.4,115.1,.394,.351,.584,55.1,55.7,10.5,11.1,.550,15.5,35.5,.286
9,American,32,16,16,.500,-6.91,-6.21,9,9,11,6,5,10,2387,2283,67.5,105.8,.407,.371,.566,51.3,53.2,9.2,9.3,.528,17.3,28.9,.295
10,Appalachian State,32,19,13,.594,-3.77,-5.67,11,7,11,4,7,8,2305,2114,64.7,101.7,.304,.412,.499,46.5,50.6,7.8,8.2,.464,12.4,28.4,.214
11,Arizona,34,32,2,.941,29.92,12.57,16,2,16,1,9,1,2929,2339,71.3,96.1,.277,.372,.485,42.7,48.9,8.4,8.3,.450,14.5,26.9,.198
