Rank,School,Conf,AP_Rank,W,L,Pts,Opp_Pts,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Michigan,Big Ten,3,31,3,86.8,69.2,17.62,14.86,19.39,13.09,32.48,128.93,84.98,43.96
2,Duke,ACC,1,32,2,82.3,63.1,19.15,12.41,13.12,18.44,31.55,129.78,85.35,44.43
3,Arizona,Big 12,2,32,2,86.1,68.8,17.35,12.57,16.87,13.05,29.92,127.23,86.50,40.73
4,Florida,SEC,4,26,7,86.8,72.0,14.79,13.11,16.01,11.90,27.90,126.09,88.82,37.27
5,Iowa State,Big 12,7,27,7,81.8,65.1,16.65,10.50,12.13,15.02,27.15,126.21,88.91,37.30
6,Illinois,Big Ten,9,24,8,84.4,69.8,14.56,11.89,15.49,10.96,26.45,132.58,94.74,37.84
7,Houston,Big 12,5,28,6,77.1,62.9,14.29,11.93,7.20,19.03,26.23,124.65,87.07,37.58
8,Purdue,Big Ten,18,27,8,81.7,70.1,11.51,14.13,13.42,12.22,25.64,133.06,96.47,36.58
9,Gonzaga,WCC,12,30,3,85.1,66.0,19.12,5.98,12.64,12.47,25.11,123.43,89.05,34.38
10,Michigan State,Big Ten,8,25,7,78.9,68.4,10.53,12.91,9.64,13.80,23.44,124.24,90.90,33.34
11,Louisville,ACC,24,23,10,84.8,72.2,12.58,10.83,15.05,8.36,23.41,126.12,94.54,31.57
12,Connecticut,Big East,6,29,5,77.5,65.1,12.38,10.53,7.56,15.35,22.92,122.75,90.49,32.27
13,Vanderbilt,SEC,22,26,8,86.4,75.2,11.15,11.68,15.51,7.32,22.83,126.99,96.47,30.52
14,Alabama,SEC,15,23,9,91.7,83.5,8.25,14.45,22.33,0.36,22.70,128.52,98.50,30.02
15,Arkansas,SEC,17,26,8,89.9,80.1,9.85,12.57,19.52,2.90,22.43,128.56,98.51,30.05
16,St. John's (NY),Big East,13,28,6,81.6,70.0,11.59,10.83,11.74,10.68,22.42,120.28,90.25,30.03
17,Tennessee,SEC,25,22,11,79.5,69.4,10.09,11.99,7.84,14.24,22.08,122.00,91.72,30.28
18,Texas Tech,Big 12,16,22,10,80.4,72.6,7.78,14.17,11.35,10.60,21.95,126.14,95.92,30.21
19,Virginia,ACC,10,29,5,80.6,68.4,12.24,9.36,9.95,11.65,21.60,123.57,93.14,30.43
20,Nebraska,Big Ten,11,26,6,77.3,66.2,11.06,10.48,7.59,13.95,21.54,119.98,89.74,30.24
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
21,Kansas,Big 12,14,23,10,75.6,69.4,6.24,14.86,8.69,12.42,21.10,119.57,90.37,29.20
22,Brigham Young,Big 12,,23,11,83.9,75.3,8.59,12.45,16.04,5.00,21.04,125.95,97.33,28.63
23,Kentucky,SEC,,21,13,80.8,73.8,6.94,12.86,10.65,9.15,19.80,122.35,95.56,26.79
24,Georgia,SEC,,22,10,89.8,79.2,10.66,8.91,18.20,1.37,19.57,124.37,99.51,24.86
25,Wisconsin,Big Ten,23,24,10,83.0,75.9,7.09,12.44,14.66,4.86,19.52,126.24,99.00,27.25
26,North Carolina,ACC,19,24,8,79.8,71.3,8.47,10.92,10.40,8.98,19.39,121.39,95.27,26.12
27,Ohio State,Big Ten,,21,12,79.8,72.8,7.00,12.06,11.45,7.61,19.06,125.76,99.28,26.48
28,Iowa,Big Ten,,21,12,75.2,66.0,9.24,9.76,5.64,13.36,19.00,124.29,97.06,27.23
29,UCLA,Big Ten,,23,11,77.7,71.0,6.74,11.55,8.41,9.88,18.28,124.14,98.51,25.63
30,Miami (FL),ACC,,25,8,81.9,71.2,10.76,7.28,10.09,7.95,18.04,121.76,97.76,24.00
31,NC State,ACC,,20,13,83.7,76.5,7.18,10.83,14.36,3.65,18.02,125.70,101.15,24.56
32,Saint Mary's,WCC,21,27,5,78.2,64.6,13.63,5.54,5.72,12.15,17.87,120.87,95.06,25.81
33,Utah State,MWC,,28,6,82.5,70.4,12.18,6.51,10.41,6.95,17.36,123.13,98.69,24.44
34,Saint Louis,A-10,,28,5,87.2,69.5,17.73,1.52,13.22,4.05,17.27,121.33,98.74,22.60
35,Southern Methodist,ACC,,20,13,84.2,77.6,6.61,10.66,13.09,4.17,17.27,122.95,100.65,22.29
36,Auburn,SEC,,17,16,82.7,79.4,3.33,13.69,12.51,4.51,17.02,124.45,101.75,22.70
37,Clemson,ACC,,24,10,74.1,66.7,7.41,9.57,3.64,13.34,16.99,118.72,94.89,23.83
38,Texas A&M,SEC,,21,11,87.7,79.6,8.16,8.60,15.11,1.66,16.76,121.16,99.88,21.28
39,Indiana,Big Ten,,18,14,78.2,72.2,6.00,10.70,9.06,7.64,16.70,121.87,99.46,22.41
40,Villanova,Big East,,24,8,77.2,70.8,6.38,9.93,6.60,9.71,16.30,120.78,97.71,23.06
Rk,School,Conf,AP Rank,W,L,Pts,Opp,"Margin of VictoryA team's average margin of victory over a period or season"" >MOV","Strength of ScheduleA rating of strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SOS",OSRS,DSRS,"Simple Rating SystemA rating that takes into account average point differential and strength of schedule. The rating is denominated in points above/below average, where zero is average. Non-Division I games are excluded from the ratings."" data-over-header=""SRS"" >SRS","Offensive RatingAn estimate of points scored (for teams) or points produced (for players) per 100 possessions."" data-over-header=""Adjusted"" data-filter=""1"" data-name=""Offensive Rating"" >ORtg",DRtg,NRtg
41,Texas,SEC,,18,14,83.8,76.8,6.97,10.30,11.41,4.76,16.17,124.10,102.66,21.44
42,Santa Clara,WCC,,26,8,82.9,72.4,10.41,6.06,12.30,3.59,15.88,123.02,101.35,21.67
43,Texas Christian,Big 12,,22,11,78.3,72.1,6.24,9.51,7.01,8.73,15.75,116.45,94.92,21.53
44,Cincinnati,Big 12,,18,15,73.1,67.6,5.55,9.95,2.89,12.61,15.50,111.64,91.23,20.40
45,Baylor,Big 12,,16,16,82.6,77.2,5.41,11.78,11.97,3.36,15.33,124.01,103.37,20.64
46,Oklahoma,SEC,,19,15,82.7,77.1,5.65,9.37,10.23,4.80,15.02,124.06,103.69,20.37
47,Washington,Big Ten,,16,17,77.1,73.6,3.48,10.68,6.86,7.31,14.17,117.84,98.66,19.18
48,San Diego State,MWC,,22,11,78.2,71.0,7.21,8.12,6.12,7.50,13.62,113.83,94.87,18.96
49,New Mexico,MWC,,23,10,80.5,70.8,9.73,5.05,8.41,5.11,13.52,118.04,99.42,18.62
50,Seton Hall,Big East,,21,12,70.3,65.3,5.00,8.45,-0.71,14.16,13.45,111.01,92.60,18.41
51,UCF,Big 12,,21,11,81.0,78.5,2.50,10.80,11.37,1.93,13.30,120.73,102.98,17.75
52,South Florida,American,,25,8,87.7,75.5,12.21,2.60,12.69,0.60,13.29,116.34,98.78,17.56
53,Virginia Tech,ACC,,19,13,78.8,74.9,3.91,9.38,8.40,4.89,13.28,118.01,100.38,17.63
54,Virginia Commonwealth,A-10,,27,7,81.6,71.5,10.09,3.11,9.10,4.10,13.19,118.95,101.27,17.67
55,Missouri,SEC,,20,12,79.7,75.3,4.31,8.77,7.05,6.03,13.08,118.70,101.71,16.99
56,West Virginia,Big 12,,18,14,69.2,64.8,4.44,8.37,-2.11,14.91,12.80,111.69,93.93,17.76
57,Louisiana State,SEC,,15,17,81.4,78.5,2.94,9.75,9.65,3.04,12.69,120.69,104.23,16.46
58,Northwestern,Big Ten,,15,19,73.1,72.0,1.18,11.43,4.10,8.51,12.61,117.58,100.59,16.99
59,Wake Forest,ACC,,17,16,78.8,77.1,1.79,10.79,8.63,3.94,12.57,118.14,101.55,16.58
