School,SRS,SR_AdjORtg,SR_AdjDRtg,SR_AdjNRtg
Michigan,32.48,128.93,84.98,43.96
Duke,31.55,129.78,85.35,44.43
Arizona,29.92,127.23,86.50,40.73
Florida,27.90,126.09,88.82,37.27
Iowa State,27.15,126.21,88.91,37.30
Illinois,26.45,132.58,94.74,37.84
Houston,26.23,124.65,87.07,37.58
Purdue,25.64,133.06,96.47,36.58
Gonzaga,25.11,123.43,89.05,34.38
Michigan State,23.44,124.24,90.90,33.34
Louisville,23.41,126.12,94.54,31.57
Connecticut,22.92,122.75,90.49,32.27
Vanderbilt,22.83,126.99,96.47,30.52
Alabama,22.70,128.52,98.50,30.02
Arkansas,22.43,128.56,98.51,30.05
St. John's (NY),22.42,120.28,90.25,30.03
Tennessee,22.08,122.00,91.72,30.28
Texas Tech,21.95,126.14,95.92,30.21
Virginia,21.60,123.57,93.14,30.43
Nebraska,21.54,119.98,89.74,30.24
Kansas,21.10,119.57,90.37,29.20
Brigham Young,21.04,125.95,97.33,28.63
Kentucky,19.80,122.35,95.56,26.79
Georgia,19.57,124.37,99.51,24.86
Wisconsin,19.52,126.24,99.00,27.25
North Carolina,19.39,121.39,95.27,26.12
Ohio State,19.06,125.76,99.28,26.48
Iowa,19.00,124.29,97.06,27.23
UCLA,18.28,124.14,98.51,25.63
Miami (FL),18.04,121.76,97.76,24.00
NC State,18.02,125.70,101.15,24.56
Saint Mary's,17.87,120.87,95.06,25.81
Utah State,17.36,123.13,98.69,24.44
Saint Louis,17.27,121.33,98.74,22.60
Southern Methodist,17.27,122.95,100.65,22.29
Auburn,17.02,124.45,101.75,22.70
Clemson,16.99,118.72,94.89,23.83
Texas A&M,16.76,121.16,99.88,21.28
Villanova,16.30,120.78,97.71,23.06
Texas,16.17,124.10,102.66,21.44
Santa Clara,15.88,123.02,101.35,21.67
Texas Christian,15.75,116.45,94.92,21.53
